CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 
-3656.924207;-5790.97936;-4320.793369;-6087.72112;3609.694971;-32581.44499;-111250.8683;-160303.7385
-4222.222176;-4677.348396;-4593.864631;-4994.586706;3096.856546;-32118.3392;-111518.7316;-160133.8205
-6108.597649;1593.701731;-5741.872578;1376.509831;-1605.168176;-30063.85625;-112752.682;-159381.5055
-5656.198341;-722.2966221;-5403.981257;-1024.603966;437.6248047;-30662.92771;-112407.437;-159591.7683
-3856.21236;-5577.296683;-4404.880632;-5877.435908;3579.788337;-32437.07507;-111341.4599;-160248.3955
-3929.928414;-5263.411136;-4448.690051;-5577.699015;3385.574029;-32375.38426;-111367.835;-160228.5919
-5858.146353;593.0141321;-5577.721367;351.3694228;-751.4432968;-30359.52513;-112572.3928;-159488.3915
-5934.432856;482.5965145;-5592.272352;206.2395461;-592.3212281;-30330.93725;-112607.7756;-159471.8959
-4129.12716;-5205.140138;-4526.675287;-5510.576726;3462.195809;-32231.37197;-111470.8542;-160171.2373
-3714.345838;-5635.388867;-4350.454134;-5944.915825;3535.576586;-32558.13212;-111267.051;-160298.4411
-5541.37743;-630.2521384;-5373.895809;-900.7753015;259.9284363;-30738.36484;-112349.5012;-159627.8441
-6149.277824;1495.376408;-5742.185502;1248.657852;-1488.380312;-30064.12447;-112766.473;-159375.5376
-4438.072972;-4637.249367;-4678.041301;-4950.062031;3202.133262;-31968.73897;-111631.6973;-160072.4202
-3573.529848;-5831.860701;-4287.601028;-6135.464446;3587.857316;-32665.06286;-111204.4661;-160337.0426
-5178.876839;-1920.28307;-5145.036297;-2215.393152;1266.583951;-31149.72635;-112101.8439;-159776.729
-5444.102638;-1583.263467;-5264.662834;-1898.825395;1129.634813;-30930.63455;-112256.2945;-159687.2773
-3716.424551;-5737.625746;-4344.083887;-6034.836892;3605.470491;-32563.96592;-111272.6165;-160294.5966
-4127.048448;-4892.662751;-4545.495456;-5208.984638;3208.235289;-32232.35544;-111464.4839;-160174.8806
-6037.407343;1304.738379;-5694.978618;1079.49985;-1361.042423;-30170.29526;-112698.0767;-159417.8718
-5749.293357;-326.424876;-5465.739127;-621.2890889;98.03475118;-30573.43132;-112470.3124;-159556.5643
-3939.249091;-5476.602075;-4439.704649;-5777.747128;3552.899188;-32399.01005;-111375.0769;-160231.14
-3854.021889;-5402.886021;-4412.010838;-5715.475168;3444.917911;-32462.57841;-111326.216;-160258.4985
-5761.855037;216.3201828;-5515.136482;-34.24287251;-440.9105111;-30494.95435;-112500.532;-159535.1514
-6010.093511;834.7035449;-5644.575434;568.538972;-902.6975516;-30259.12109;-112660.5258;-159443.621
-4222.959783;-5047.716802;-4573.61395;-5354.852123;3398.202765;-32177.16899;-111517.3681;-160149.2879
-3655.113716;-5714.782264;-4326.716581;-6022.744599;3560.767002;-32622.90747;-111239.6477;-160320.0105
-5427.249423;-1039.378469;-5301.654971;-1318.037667;586.1297949;-30889.82026;-112267.828;-159680.1918
-6202.1397;1758.657605;-5781.323407;1522.533777;-1725.442913;-30021.05266;-112804.0463;-159358.9079
-4541.360383;-4403.673637;-4733.563034;-4719.54849;3080.830345;-31894.08414;-111687.4649;-160041.9772
-4691.675865;-3478.981969;-4854.955358;-3796.332037;2383.590029;-31704.42959;-111787.3772;-159979.1241
-6297.179317;2327.509502;-5861.610873;2129.853026;-2271.428975;-29894.81001;-112881.2716;-159316.9089
-5224.854377;-2417.698791;-5129.725352;-2743.117838;1784.540926;-31209.67373;-112108.6165;-159790.9894
-3611.505462;-5841.002565;-4306.398845;-6136.939661;3615.148796;-32666.96276;-111227.6448;-160334.9638
-4344.083887;-4408.345152;-4661.098678;-4726.254013;2950.542027;-32055.41903;-111582.0094;-160108.496
-6178.558609;1872.003302;-5787.246619;1660.980482;-1854.16661;-30028.98753;-112796.9832;-159365.2781
-5548.41823;-1178.205154;-5334.44498;-1488.246201;809.6919429;-30840.17704;-112326.7695;-159653.9062
-3776.595447;-5673.073908;-4374.61637;-5971.268531;3601.670695;-32543.33526;-111301.7856;-160285.7229
-4031.49474;-5081.155012;-4500.166118;-5396.649885;3303.498424;-32338.25801;-111413.9243;-160212.0292
-5958.237464;987.0083317;-5642.608481;752.1138492;-1086.093615;-30286.0773;-112638.0176;-159457.4344
-5838.320355;62.94251239;-5525.038305;-223.9868312;-231.0499824;-30488.04766;-112531.4891;-159523.1038
-4021.23529;-5360.104783;-4480.20601;-5662.948568;3519.148054;-32357.07818;-111414.863;-160213.5715
-3778.718862;-5521.707895;-4380.964265;-5832.955937;3494.427025;-32544.49755;-111291.2132;-160287.1982
-5662.255664;-167.4592695;-5452.462191;-426.9853743;-116.2514229;-30639.90541;-112427.9782;-159587.0745
-6081.686149;1165.934046;-5696.587944;909.1572057;-1193.270229;-30196.89383;-112711.2866;-159420.2858
-4319.407561;-4867.852314;-4622.854843;-5178.005121;3318.049409;-32116.86398;-111566.3632;-160124.2539
-3606.677485;-5778.238866;-4308.343447;-6084.346006;3579.095433;-32680.2397;-111218.0559;-160339.0989
-5314.618983;-1450.04707;-5232.118694;-1736.104695;906.854976;-31045.299;-112188.7475;-159735.7359
-6245.747953;1975.670692;-5814.113416;1748.532265;-1930.050782;-29989.96138;-112834.7353;-159346.3909
-4645.608919;-4151.747126;-4790.939962;-4471.153554;2938.427381;-31816.0095;-111745.1101;-160010.0812
-3523.864272;-5883.35912;-4269.965502;-6183.543048;3597.267401;-32738.24248;-111181.265;-160357.8744
-4939.981394;-2705.812777;-5001.135767;-3015.16092;1850.07624;-31455.47586;-111940.4196;-159883.5257
-6311.372675;2354.890389;-5864.471896;2151.69068;-2295.70297;-29898.47569;-112885.3843;-159312.975
-4987.21063;-3192.074977;-4986.048339;-3519.930365;2336.383144;-31476.97824;-111952.8919;-159885.0903
-3532.760266;-5885.817812;-4274.346444;-6181.889019;3603.995276;-32730.1735;-111189.3563;-160353.4711
-4571.825811;-3797.248459;-4786.491965;-4115.693762;2586.923848;-31841.26697;-111711.7613;-160024.5428
-6267.496201;2238.258986;-5842.61189;2037.674432;-2185.084186;-29941.4134;-112856.707;-159328.8448
-5326.398352;-2032.01944;-5192.936086;-2354.555113;1491.621314;-31112.71186;-112172.9001;-159750.9798
-3641.635614;-5800.545907;-4322.357991;-6097.153556;3614.724113;-32656.50215;-111242.2629;-160326.4702
-5869.724556;649.6087491;-5585.902105;406.6899904;-787.2507915;-30409.36952;-112571.2082;-159498.6733
-5917.959621;439.9046826;-5580.761204;161.4466502;-543.7955909;-30407.58138;-112585.7145;-159489.9785
-4099.108767;-5221.367505;-4518.293383;-5526.692334;3470.510658;-32305.84798;-111451.6987;-160189.5434
-3701.650047;-5617.239251;-4350.320023;-5927.369705;3529.675726;-32614.41381;-111256.5233;-160309.0582
-5549.088782;-560.6264544;-5378.969655;-828.8473879;213.3026973;-30780.63199;-112344.7403;-159632.4038
-6135.956184;1464.106317;-5734.317688;1215.44316;-1443.408602;-30136.90175;-112747.4517;-159392.7931
-4406.691123;-4660.830457;-4668.586513;-4974.514839;3221.1993;-32044.57844;-111611.7819;-160091.5533
-3549.21115;-5820.751884;-4287.824546;-6125.182644;3587.678503;-32723.98206;-111194.3854;-160349.5372
-5190.097414;-1852.534932;-5152.993518;-2148.047346;1229.368297;-31191.32295;-112100.1675;-159782.0487
-6269.977244;2150.751907;-5830.430189;1931.168369;-2075.381824;-29962.60285;-112847.9675;-159329.4483
-4741.96729;-3870.919808;-4846.595805;-4194.550716;2781.361673;-31731.74342;-111800.9447;-159974.0502
-3494.449376;-5893.171536;-4265.785726;-6192.193173;3600.955439;-32765.19868;-111174.6712;-160364.647
-4818.678477;-3069.140383;-4931.063048;-3384.545849;2120.889976;-31605.27725;-111861.8085;-159936.3652
-6304.734207;2376.392767;-5862.862571;2176.590523;-2294.786548;-29917.38527;-112877.9188;-159315.9255
-5084.910105;-2836.704592;-5044.542854;-3165.811678;2102.785063;-31380.93279;-112011.5205;-159843.6948
-6047.175055;1360.751851;-5703.673447;1136.429743;-1385.741101;-30222.33012;-112696.7132;-159429.5617
-5734.831778;-374.972865;-5459.234769;-670.3735197;163.0559758;-30658.83734;-112452.5875;-159581.8665
-3900.491166;-5492.181241;-4435.279004;-5793.818032;3564.052709;-32476.45884;-111360.6154;-160253.1341
-3846.288186;-5379.93078;-4418.470492;-5693.637513;3443.420344;-32520.26826;-111323.3773;-160272.826
-5775.757822;289.6786081;-5526.200596;40.07667781;-473.9910929;-30544.64227;-112502.2978;-159546.7296
-5998.090625;794.4927567;-5638.965146;525.1318842;-839.1068386;-30341.17435;-112643.7396;-159467.2021
-4187.509917;-5070.873209;-4566.148468;-5379.215524;3415.905346;-32257.07647;-111499.6656;-160171.3714
-3635.734753;-5703.360522;-4329.689363;-6012.082817;3561.437555;-32684.59829;-111232.9869;-160335.4332
-5443.700307;-966.2212093;-5314.261355;-1243.271082;544.2649775;-30937.0048;-112271.2701;-159690.8983
-6193.17665;1727.700439;-5776.987168;1489.699064;-1678.168974;-30097.27211;-112788.9365;-159379.4938
-4512.861909;-4442.230397;-4726.85751;-4758.88756;3111.541642;-31978.61844;-111670.5893;-160067.1229
-3516.287031;-5858.638091;-4278.772089;-6161.39247;3597.960305;-32769.66903;-111183.5001;-160365.7869
-5074.605951;-2247.110277;-5084.239553;-2549.842304;1532.681469;-31348.81334;-112023.5681;-159839.8951
-6299.816823;2283.096586;-5856.805248;2074.353644;-2199.679875;-29962.93813;-112871.2133;-159333.0692
-4856.38587;-3570.154735;-4913.628687;-3896.601963;2596.825671;-31652.21592;-111869.3858;-159946.0435
-3740.318565;-5684.138022;-4367.173239;-5982.802031;3605.246974;-32617.58776;-111284.7535;-160304.9007
-4029.773656;-5046.554511;-4504.144729;-5362.965806;3290.713226;-32389.42115;-111408.8504;-160221.7523
-5969.681557;1054.175324;-5651.616234;822.5888994;-1126.840845;-30332.65833;-112637.2352;-159466.0845
-5824.574032;10.12534024;-5519.003334;-277.4298522;-166.7216619;-30573.09605;-112513.7866;-159548.3165
-3987.774728;-5380.176649;-4473.500487;-5683.579228;3530.435685;-32436.29276;-111398.278;-160235.9903
-3774.0697;-5503.535927;-4387.468623;-5815.454521;3491.744815;-32603.41675;-111288.531;-160302.4644
-5679.690025;-93.63145752;-5465.023871;-350.654167;-166.3416822;-30685.34651;-112431.9568;-159596.8645
-6069.213875;1118.011906;-5689.167164;860.2515889;-1135.893301;-30276.46604;-112693.3605;-159441.9446
-4290.506755;-4896.864879;-4612.327172;-5206.928278;3336.243729;-32195.65388;-111545.8219;-160144.8623
-3593.579363;-5765.632482;-4307.985819;-6072.454878;3576.480279;-32738.17542;-111208.1318;-160351.0794
-5332.858006;-1375.794575;-5244.300395;-1662.701567;860.2739406;-31087.40969;-112192.5249;-159743.4473
-6238.751857;1948.826247;-5809.93364;1720.547881;-1891.605782;-30063.8786;-112820.5195;-159365.7922
-4622.363105;-4196.182394;-4783.161555;-4515.074732;2971.172687;-31902.35429;-111727.1393;-160035.9422
-3509.73797;-5882.666216;-4272.938284;-6183.297179;3601.335418;-32805.07419;-111174.783;-160376.5828
-4961.908455;-2632.610814;-5016.647877;-2940.684908;1806.155062;-31500.35816;-111947.0134;-159894.2992
-4252.955824;-4608.057989;-4615.478768;-4925.810388;3062.43486;-32224.01824;-111520.5868;-160160.1285
-6130.681173;1678.347788;-5758.189351;1463.033433;-1683.354578;-30172.93276;-112749.6645;-159407.657
-5629.778579;-848.4945713;-5389.497327;-1151.830095;537.1571227;-30835.25966;-112371.026;-159642.708
-3829.502026;-5609.125568;-4399.337399;-5908.326019;3590.114843;-32590.5645;-111314.4143;-160292.272
-3956.817562;-5215.198423;-4466.035004;-5529.508654;3366.396232;-32487.23239;-111364.6834;-160256.3975
-5891.249286;715.568747;-5601.995361;476.9862267;-855.1553911;-30459.97387;-112577.7125;-159512.4643
-5914.584507;375.8222313;-5581.923495;96.67129477;-499.5391368;-30498.97766;-112575.6562;-159521.7627
-4098.818195;-5253.375203;-4517.421665;-5557.895369;3482.625304;-32391.16459;-111440.0311;-160217.2819
-3730.617908;-5610.109044;-4362.725242;-5919.770112;3528.245214;-32679.56915;-111258.4455;-160329.8006
-5582.12466;-495.4711193;-5403.243649;-760.7192708;140.9501005;-30833.8515;-112359.8501;-159650.9558
-6138.861911;1410.193909;-5739.07861;1162.871857;-1420.431008;-30225.52642;-112741.4614;-159424.1079
-4411.474396;-4708.685542;-4669.279417;-5020.134749;3240.868836;-32135.21476;-111601.2319;-160122.5329
-3584.884534;-5821.444788;-4297.636962;-6125.51792;3589.779567;-32792.60192;-111193.3573;-160371.0172
-5224.407342;-1781.992827;-5177.133402;-2073.973665;1157.663901;-31242.97783;-112114.5844;-159799.5278
-6279.655549;2121.314659;-5841.136675;1904.770959;-2077.013502;-30046.17602;-112847.1405;-159359.8243
-3570.60177;-5878.754661;-4287.712787;-6174.378833;3609.873785;-32810.05863;-111189.1775;-160375.0182
-4493.617057;-4050.225502;-4743.844836;-4368.871971;2733.52894;-32025.69121;-111651.5233;-160086.0101
-6246.016174;2121.716991;-5831.659535;1918.338468;-2102.896822;-30064.86208;-112828.365;-159366.5298
-5414.687743;-1714.691724;-5247.899025;-2030.812446;1224.853244;-31103.39118;-112216.7095;-159736.6523
-3704.935754;-5763.464363;-4342.183988;-6060.072012;3611.885442;-32716.0919;-111249.1919;-160338.2942
-4163.057108;-4825.339297;-4565.500267;-5141.415315;3169.656178;-32337.54275;-111464.4169;-160199.2217
-6067.179867;1409.076322;-5715.922203;1187.011741;-1468.733128;-30273.85089;-112699.9319;-159442.0564
-5724.773493;-460.2671218;-5451.43401;-756.8971225;196.0247989;-30745.62916;-112433.5661;-159606.7887
-3923.08878;-5518.31043;-4434.608452;-5818.583765;3565.952607;-32557.17099;-111348.0537;-160277.1399
-3887.72832;-5361.401184;-4429.489902;-5674.459717;3425.918928;-32576.75112;-111323.0197;-160286.8629
-5801.216459;349.1342484;-5543.925529;102.2368791;-570.5953325;-30591.51388;-112509.8303;-159557.9054
-5990.312218;718.362715;-5633.846597;449.7618019;-823.1923965;-30424.14402;-112626.797;-159490.5149
-4197.456443;-5105.719579;-4560.113497;-5412.005533;3417.8723;-32336.8722;-111481.7171;-160192.8962
-3682.136975;-5689.725958;-4335.523169;-5998.001218;3550.172275;-32740.20943;-111227.5554;-160346.922
-5468.711909;-898.808348;-5328.521768;-1175.053558;452.8686944;-30974.68984;-112275.8075;-159695.4581
-5104.758454;-2181.4185;-5101.942134;-2480.574248;1450.359994;-31391.50517;-112030.9442;-159848.6346
-6296.084082;2246.350318;-5851.284367;2034.992222;-2212.643887;-30029.70279;-112854.8742;-159346.6144
-4843.801837;-3640.294509;-4899.770606;-3964.841838;2615.13175;-31736.12436;-111843.1448;-159966.3612
-3537.476484;-5899.228859;-4269.563171;-6196.104729;3599.323761;-32854.51625;-111165.0599;-160387.6469
-4732.221929;-3356.807334;-4876.837716;-3672.413966;2284.482394;-31788.82978;-111789.9924;-159991.954
-6302.387274;2340.853493;-5863.399012;2143.040555;-2317.853548;-30016.17998;-112863.0326;-159343.4628
-5186.83406;-2561.554618;-5104.847861;-2886.705445;1867.287084;-31382.25155;-112061.2755;-159837.5034
-3609.829081;-5854.860646;-4299.67097;-6150.216597;3610.365523;-32809.90217;-111199.2581;-160371.3972
-4388.362692;-4320.703962;-4684.255085;-4638.478713;2889.20884;-32152.53736;-111585.4292;-160129.6184
-6201.066816;1941.114895;-5802.468157;1731.991974;-1947.105163;-30141.46151;-112792.781;-159392.5025
-5514.823558;-1331.001679;-5312.093236;-1641.579168;905.7597406;-31014.36418;-112281.9096;-159702.2977
-3770.269903;-5702.913487;-4365.318044;-6000.012875;3602.162433;-32694.99185;-111270.739;-160326.4255
-4073.426613;-5015.440883;-4516.08056;-5330.332259;3261.745365;-32438.75145;-111409.4986;-160231.9223
-5989.798127;1104.22088;-5664.490839;874.9590367;-1217.477169;-30381.72041;-112639.7163;-159476.9251
-5812.36998;-83.52846903;-5510.196747;-371.6424551;-133.9316528;-30661.96658;-112492.7983;-159573.7528
-5285.651122;-2183.541916;-5164.169391;-2506.949306;1584.939848;-31285.96023;-112122.9887;-159797.0691
-3638.908701;-5817.287364;-4313.283183;-6113.135053;3610.723151;-32800.6709;-111211.9539;-160363.2164
-4277.430985;-4558.571226;-4623.212471;-4875.518963;3021.352353;-32268.69938;-111518.821;-160166.5881
-6143.175798;1726.985184;-5764.112564;1512.609603;-1756.243617;-30222.37482;-112747.9881;-159417.1565
-5609.684361;-936.6274997;-5374.476954;-1241.661756;588.7225972;-30923.43729;-112346.1708;-159666.4679
-3827.110389;-5627.342239;-4393.213021;-5925.827435;3590.561878;-32667.54391;-111297.9187;-160312.925
-3979.616342;-5182.766042;-4473.008749;-5496.986866;3344.357412;-32537.07678;-111361.9565;-160265.8522
-5907.767225;782.5569251;-5611.830129;545.9637101;-937.5215694;-30501.81633;-112579.3442;-159518.7899
-5894.713806;288.0469308;-5567.305454;8.493662893;-446.9007786;-30585.23304;-112551.1363;-159544.5167
-4083.708415;-5285.896991;-4509.844424;-5589.836012;3492.303609;-32473.73193;-111422.2615;-160240.7065
-3746.800571;-5588.025521;-4367.888494;-5898.379493;3518.164577;-32733.83918;-111253.4834;-160340.9318
-5602.330637;-407.9640398;-5415.492405;-672.3404732;61.04261411;-30871.13421;-112363.7393;-159655.5379
-6122.098103;1349.665385;-5726.561633;1099.012923;-1375.325188;-30306.55149;-112719.3779;-159444.6939
-4384.562896;-4749.678642;-4653.879065;-5061.261959;3256.179781;-32218.40795;-111575.3709;-160143.2306
-3589.712511;-5809.821881;-4298.978066;-6114.967896;3585.264514;-32851.92345;-111184.6177;-160384.0036
-3897.563088;-5331.986288;-4440.710478;-5646.69885;3417.648782;-32631.69171;-111324.8302;-160301.615
-5822.227099;438.1612466;-5558.320052;191.1968221;-636.6223856;-30632.70815;-112516.357;-159566.3544
-5975.113031;645.2278072;-5625.17412;373.0059115;-750.0351369;-30516.52378;-112608.3344;-159519.7287
-4167.661568;-5142.89053;-4554.302043;-5449.936444;3439.553492;-32424.93807;-111465.9815;-160220.9252
-3679.857097;-5674.213847;-4344.575625;-5983.763156;3550.284034;-32801.76613;-111226.9519;-160364.7811
-5493.544697;-794.202184;-5346.537274;-1067.720481;378.6161993;-31013.76069;-112285.3741;-159703.84
-6176.211676;1620.233252;-5766.079517;1377.336845;-1615.897014;-30257.2659;-112756.7947;-159423.8844
-4479.69192;-4540.779238;-4707.187975;-4856.721146;3152.713555;-32151.21861;-111628.434;-160115.9838
-3549.926406;-5848.021012;-4287.601028;-6152.071792;3595.568668;-32895.82227;-111170.3126;-160397.884
-5132.072286;-2081.886182;-5120.717599;-2382.338331;1385.204659;-31427.35737;-112040.8236;-159855.2954
-6294.005369;2231.218187;-5852.312547;2017.557862;-2182.96077;-30105.29639;-112845.777;-159369.5026
-4816.376247;-3706.589783;-4890.539335;-4032.366458;2669.357082;-31830.96282;-111823.1177;-159996.8937
-3514.007153;-5898.245382;-4272.155973;-6196.752929;3604.732884;-32921.12445;-111157.438;-160406.1988
-4756.942958;-3266.238066;-4894.786167;-3583.118747;2238.840132;-31826.11249;-111798.7766;-159999.1289
-3818.169691;-5451.925749;-4404.724169;-5765.47602;3469.393071;-32708.82758;-111283.5689;-160325.5985
-5724.929956;80.57803876;-5494.595229;-174.5894759;-326.9836696;-30761.23068;-112442.0822;-159608.1522
-6039.910738;976.570067;-5668.983539;712.4618545;-1029.096666;-30444.14883;-112649.8193;-159487.0728
-4255.816848;-4975.654778;-4592.232954;-5285.651122;3366.887971;-32362.46495;-111501.6549;-160190.1469
-3629.632727;-5738.497464;-4319.005229;-6046.4598;3567.204305;-32854.18097;-111196.33;-160377.9462
-5385.18344;-1190.655075;-5277.179811;-1472.912904;694.8263281;-31157.03537;-112205.0643;-159752.1198
-6220.937517;1851.082069;-5797.103738;1618.243947;-1824.885824;-30216.09398;-112784.3097;-159404.7289
-4580.475936;-4309.885718;-4758.23936;-4627.883986;3026.850882;-32075.89323;-111677.6078;-160083.082
-3532.492045;-5874.440774;-4278.548572;-6176.837525;3599.390817;-32931.71918;-111156.7898;-160407.5623
-5018.279555;-2460.502381;-5051.40484;-2769.112917;1670.681139;-31573.69424;-111961.2961;-159905.7656
-6309.249259;2324.067333;-5864.494248;2116.821959;-2273.619446;-30104.42467;-112852.7731;-159366.418
-4923.195234;-3401.644933;-4949.369126;-3728.695658;2472.14764;-31744.48392;-111880.8746;-159961.0639
-3538.236444;-5893.193888;-4276.268694;-6186.851107;3605.783416;-32934.49079;-111157.9521;-160408.1211
-4651.487428;-3592.394721;-4833.564738;-3908.381332;2450.734669;-31964.40273;-111728.7709;-160048.8615
-6290.67496;2308.734037;-5859.889789;2113.37979;-2269.216152;-30119.66856;-112843.1172;-159373.9953
-4680.991731;-4064.28475;-4814.297535;-4387.088643;2885.923134;-32004.81468;-111733.4872;-160054.5612
-3516.756417;-5889.148222;-4271.418365;-6190.136813;3599.770796;-32960.75409;-111147.0668;-160413.9326
-4904.397417;-2818.845548;-4982.740281;-3131.010012;1924.351087;-31715.85133;-111884.4285;-159953.9113
-6314.077236;2371.765956;-5870.864495;2170.510849;-2327.86713;-30115.89111;-112854.0919;-159367.625
-5022.682848;-3082.439671;-5008.891822;-3412.75375;2253.569931;-31659.56964;-111940.509;-159925.9269
-3546.193665;-5887.248324;-4284.315322;-6184.414766;3610.119654;-32949.80174;-111163.3165;-160411.2056
-4541.159217;-3896.378445;-4772.253903;-4216.567185;2638.444619;-32097.61913;-111660.0617;-160094.5038
-6260.410698;2199.590468;-5840.846102;1997.195422;-2176.076433;-30171.59166;-112817.6585;-159388.0769
-5360.820038;-1908.995439;-5215.80192;-2231.061725;1379.549668;-31293.26925;-112160.7184;-159790.7212
-3666.177829;-5786.978398;-4331.075171;-6084.971855;3613.65123;-32864.39572;-111214.9043;-160376.5381
-4208.855833;-4719.079103;-4592.836451;-5038.172607;3115.699067;-32424.75926;-111470.4071;-160215.9408
-6100.998056;1551.903969;-5739.950328;1330.88992;-1591.712426;-30364.2637;-112704.134;-159459.9377
-5676.560781;-654.1014497;-5421.259155;-957.0793458;360.0195479;-30933.18265;-112379.4526;-159660.2317
-3874.473736;-5564.332672;-4416.838815;-5865.567132;3578.134308;-32715.39899;-111307.3959;-160319.1388
-3922.529986;-5288.176869;-4449.159437;-5603.403521;3395.922887;-32673.37771;-111321.6563;-160306.6889
-4798.271334;-3178.507469;-4919.753065;-3493.711769;2165.52641;-31862.54583;-111813.2605;-160007.5778
-6313.965477;2366.535648;-5873.636111;2168.320378;-2342.909854;-30145.37306;-112851.879;-159378.5997
-5134.128646;-2748.52696;-5076.148221;-3077.097604;2006.381989;-31576.51056;-112008.3689;-159895.7521
-3585.644494;-5871.736213;-4296.497023;-6168.232103;3613.517119;-32956.19434;-111173.5983;-160411.8091
-4440.375202;-4178.680978;-4714.899327;-4498.199165;2804.719246;-32227.41571;-111595.711;-160140.7719
-6224.983183;2044.491714;-5818.65082;1837.246339;-2044.424658;-30240.36798;-112788.5118;-159412.0603
-5464.129801;-1536.883597;-5281.761918;-1853.071374;1073.59899;-31207.50561;-112227.1254;-159758.9147
-3734.015373;-5737.558691;-4355.170352;-6035.44039;3609.471453;-32850.15766;-111237.3902;-160369.2961
-4119.694724;-4916.623821;-4542.813247;-5233.571557;3213.37619;-32528.09137;-111414.9524;-160249.8707
-6032.10998;1272.708329;-5694.084548;1045.994585;-1361.265941;-30465.65121;-112649.6405;-159493.1748
-5767.174753;-280.9837795;-5481.4077;-575.6021232;34.37698297;-30850.12357;-112439.6011;-159627.7099
-3959.522123;-5468.063708;-4449.695879;-5770.147535;3549.07704;-32679.99383;-111338.5989;-160302.2409
-3855.18418;-5418.644001;-4414.156606;-5732.462493;3448.762411;-32756.45915;-111281.4231;-160334.0921
-5757.876427;181.2502958;-5516.477587;-71.88321017;-437.334232;-30796.43468;-112454.2862;-159614.7906
-6022.856357;871.3827576;-5657.025356;605.8216817;-966.5564855;-30537.04268;-112626.2382;-159513.9619
-6179.832659;1855.619473;-5790.755843;1643.322604;-1883.268581;-30319.31434;-112754.2913;-159439.553
-5564.489134;-1154.154677;-5348.057192;-1463.748689;754.4384306;-31120.2891;-112294.6501;-159726.147
-3803.082264;-5675.264379;-4385.456966;-5974.107203;3603.414131;-32830.51048;-111266.8051;-160361.0036
